text,true_emotion,predicted_emotion
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
@DJ_JeanFranko growl!!!,anger,anger
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger
Literally fuming fuck sake,anger,anger
Sting is just too damn earnest for early morning listening. #sting,anger,anger
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,joy
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
I hope my hustle don't offend nobody,anger,fear
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
Lol little things like that make me so angry x,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
@danbloom1 beware the fury of a weak king,anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,joy
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
@lukeshawtime terrible,fear,sadness
Nothing worse than an uber driver that can't drive. ,fear,anger
Northampton are awful 🙈,fear,anger
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! ,fear,anger
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,fear,fear
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
Rooney shocking attempted cross,fear,anger
@RyanAbe awe yay thank god I was so worried.,fear,joy
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,anger
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear,sadness
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,sadness
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
A hearty Jonza! to all my friends and follower.,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
@harrietemmett great minds think alike. ,joy,joy
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,anger
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy
Should of stayed in Dubai 😞,sadness,sadness
@trashcami this cured my depression,sadness,joy
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!",sadness,sadness
It feel like we lost a family member🙄😂,sadness,joy
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,anger
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,sadness,joy
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
